UAL_promoter,Plate,Well,Strand,Type,Distance,Group,Name,Genes
ydhP,AZ16,C9,-1,Operon,-73,1,ydhP,ydhP
b1142,AZ16,C8,1,gene,4,1,ymfI,ymfI
b1142,AZ16,C8,1,Operon,4,1,ymfI,ymfI
ydeO,AZ12,B8,-1,gene,-83,2,ydeO,ydeO
eutR,AZ12,B9,-1,gene,-82,2,eutR,eutR
trmU,AZ12,B4,-1,gene,-56,1,mnmA,mnmA
trmU,AZ12,B4,-1,Operon,-55,1,mnmA,mnmA
yadS,AZ12,B5,-1,gene,-80,2,yadS,yadS
xylB,AZ12,B6,-1,gene,-68,4,xylB,xylB
yggD,AZ12,B7,-1,gene,-98,2,yggD,yggD
yadK,AZ12,B1,-1,gene,-73,2,yadK,yadK
cpdA,AZ12,B2,-1,gene,-96,2,cpdA,cpdA
yacG,AZ12,B3,-1,gene,-91,2,yacG,yacG
usg,AZ06,B11,-1,gene,-81,2,usg,usg
ubiX,AZ06,B10,-1,gene,-80,2,ubiX,ubiX
yfcU,AZ06,B12,-1,gene,-96,1,yfcU,yfcU
yfcU,AZ06,B12,-1,Operon,-95,1,yfcUTSRQPO,"yfcU,yfcT,yfcS,yfcR,yfcQ,yfcP,yfcO"
ycfS,AZ15,D7,-1,gene,-94,1,ldtC,ldtC
ycfS,AZ15,D7,-1,Operon,-93,1,ldtC,ldtC
pspF,AZ15,D6,-1,gene,-79,1,pspF,pspF
pspF,AZ15,D6,-1,Operon,-78,1,pspF,pspF
yceP,AZ15,D5,-1,gene,-96,1,bssS,bssS
yceP,AZ15,D5,-1,Operon,-95,1,bssS,bssS
ydfZ,AZ15,D4,1,gene,-68,1,ydfZ,ydfZ
ydfZ,AZ15,D4,1,Operon,-68,1,ydfZ,ydfZ
ycgH,AZ14,E12,1,Operon,-61,1,ycgH_2,ycgH_2
ydcX,AZ15,D1,1,gene,6,1,ydcX,ydcX
ydcX,AZ15,D1,1,Operon,6,1,ortT,ortT
yceK,AZ14,E10,1,gene,169,1,yceK,yceK
yceK,AZ14,E10,1,Operon,169,1,yceK,yceK
mdtH,AZ20,A1,-1,gene,-69,1,mdtH,mdtH
mdtH,AZ20,A1,-1,Operon,-68,1,mdtH,mdtH
ygjD,AZ20,A2,-1,gene,-71,1,tsaD,tsaD
ygjD,AZ20,A2,-1,Operon,-70,1,tsaD,tsaD
yjfY,AZ20,A3,-1,gene,-71,1,yjfY,yjfY
yjfY,AZ20,A3,-1,Operon,-70,1,yjfY,yjfY
rrnD,AZ20,A4,-1,gene,-100,1,rrsD,rrsD
rrnD,AZ20,A4,-1,Operon,-99,1,rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF,"rrsD,ileU,alaU,rrlD,rrfD,thrV,rrfF"
ftsZ,AZ20,A5,1,gene,170,2,ftsZ,ftsZ
ftsZ,AZ20,A5,1,Operon,2570,1,secMA-mutT,"secM,secA,mutT"
ycgX,AZ15,D9,-1,gene,-100,1,ycgX,ycgX
ycgX,AZ15,D9,-1,Operon,-99,1,ycgX,ycgX
ycfD,AZ15,D8,-1,gene,-81,1,roxA,roxA
ycfD,AZ15,D8,-1,Operon,-80,1,roxA,roxA
ymcE,AZ07,D12,1,gene,-53,1,ymcE,ymcE
ymcE,AZ07,D12,1,Operon,-53,1,ymcE-gnsA,"ymcE,gnsA"
ybhJ,AZ07,D10,1,gene,-77,1,ybhJ,ybhJ
ybhJ,AZ07,D10,1,Operon,-77,1,ybhJ,ybhJ
pqiA,AZ07,D11,1,gene,-47,1,pqiA,pqiA
pqiA,AZ07,D11,1,Operon,-47,1,pqiAB,"pqiA,pqiB"
hemB,AZ07,A3,-1,gene,-65,1,hemB,hemB
hemB,AZ07,A3,-1,Operon,-64,1,hemB,hemB
rhtB,AZ07,A2,-1,gene,-295,1,rhtB,rhtB
rhtB,AZ07,A2,-1,Operon,-294,1,rhtB,rhtB
cspB,AZ11,D8,-1,gene,-72,1,cspB,cspB
cspB,AZ11,D8,-1,Operon,-71,1,cspB,cspB
ynfK,AZ07,A7,-1,gene,-88,2,ynfK,ynfK
lipB,AZ07,A6,-1,gene,-160,4,lipB,lipB
lipA,AZ07,A5,-1,gene,-68,1,lipA,lipA
lipA,AZ07,A5,-1,Operon,-67,1,lipA,lipA
entD,AZ07,A4,-1,gene,-81,4,entD,entD
ydhH,AZ11,D3,-1,gene,-91,1,anmK,anmK
ydhH,AZ11,D3,-1,Operon,-90,1,anmK,anmK
ydgC,AZ11,D2,-1,gene,-94,1,ydgC,ydgC
ydgC,AZ11,D2,-1,Operon,-93,1,ydgC,ydgC
ynfC,AZ11,D1,-1,gene,-59,1,ynfC,ynfC
ynfC,AZ11,D1,-1,Operon,-58,1,ynfC,ynfC
intF,AZ07,A8,-1,gene,-86,1,intF,intF
intF,AZ07,A8,-1,Operon,-85,1,intF,intF
crcB,AZ11,D7,-1,gene,-100,1,flc,flc
crcB,AZ11,D7,-1,Operon,-99,1,crcB,crcB
imp,AZ11,D6,-1,gene,-96,1,lptD,lptD
imp,AZ11,D6,-1,Operon,-95,1,lptD-surA-pdxA-rsmA-apaGH,"lptD,surA,pdxA,rsmA,apaG,apaH"
yjjJ,AZ11,D5,1,gene,-79,1,yjjJ,yjjJ
yjjJ,AZ11,D5,1,Operon,-79,1,yjjJ,yjjJ
ydhD,AZ11,D4,-1,gene,-101,1,grxD,grxD
ydhD,AZ11,D4,-1,Operon,-100,1,grxD,grxD
b0165,AZ12,A11,-1,gene,-32,1,yaeI,yaeI
b0165,AZ12,A11,-1,Operon,-31,1,yaeI,yaeI
pck,AZ12,A10,1,gene,-37,1,pck,pck
pck,AZ12,A10,1,Operon,-37,1,pck,pck
htrA,AZ04,E10,1,gene,-66,1,degP,degP
htrA,AZ04,E10,1,Operon,-66,1,degP,degP
yedQ,AZ04,E11,-1,gene,-74,1,yedQ,yedQ
yedQ,AZ04,E11,-1,Operon,-73,1,dgcQ,dgcQ
erfK,AZ04,E12,-1,gene,-97,1,ldtA,ldtA
erfK,AZ04,E12,-1,Operon,-96,1,ldtA,ldtA
katG,AZ20,D12,1,gene,-47,1,katG,katG
katG,AZ20,D12,1,Operon,-47,1,katG,katG
greB,AZ20,D11,1,gene,-19,1,greB,greB
greB,AZ20,D11,1,Operon,-19,1,greB,greB
fliL,AZ20,D10,1,gene,-40,1,fliL,fliL
fliL,AZ20,D10,1,Operon,-40,1,fliLMNOPQR,"fliL,fliM,fliN,fliO,fliP,fliQ,fliR"
ydcL,AZ15,C11,1,gene,-43,1,ydcL,ydcL
ydcL,AZ15,C11,1,Operon,-43,1,ydcL,ydcL
deaD,AZ08,E2,-1,gene,-120,1,yrbN,yrbN
deaD,AZ08,E2,-1,Operon,-119,1,yrbN-deaD,"yrbN,deaD"
deaD,AZ08,E2,-1,gene,-47,3,deaD,deaD
pnp,AZ08,E3,-1,gene,-19,2,pnp,pnp
glyU,AZ08,E1,-1,gene,-100,1,glyU,glyU
glyU,AZ08,E1,-1,Operon,-99,1,glyU,glyU
yhaJ,AZ08,E6,-1,gene,-100,1,yhaJ,yhaJ
yhaJ,AZ08,E6,-1,Operon,-99,1,yhaJ,yhaJ
yhdA,AZ08,E7,-1,gene,-82,1,csrD,csrD
yhdA,AZ08,E7,-1,Operon,-81,1,csrD,csrD
rhsD,AZ08,E4,1,gene,-56,1,rhsD,rhsD
rhsD,AZ08,E4,1,Operon,-56,1,rhsD-ybbC-ylbH-ybbD,"rhsD,ybbC,ylbH,ybbD"
emrR,AZ02,D8,1,gene,-66,1,mprA,mprA
emrR,AZ02,D8,1,Operon,-66,1,mprA-emrAB,"mprA,emrA,emrB"
cadA,AZ02,D7,-1,gene,-71,2,cadA,cadA
adiA,AZ02,D6,-1,gene,-80,1,adiA,adiA
adiA,AZ02,D6,-1,Operon,-79,1,adiA,adiA
speC,AZ06,H11,-1,gene,-34,1,speC,speC
speC,AZ06,H11,-1,Operon,-33,1,speC,speC
xapA,AZ06,H10,-1,gene,-79,1,xapA,xapA
xapA,AZ06,H10,-1,Operon,-78,1,xapAB,"xapA,xapB"
intA,AZ02,D3,1,gene,-92,1,intA,intA
intA,AZ02,D3,1,Operon,-92,1,intA,intA
tdcG_2,AZ02,D2,-1,gene,1002,1,yhaO,yhaO
tdcG_2,AZ02,D2,-1,Operon,1003,1,yhaOM,"yhaO,yhaM"
ansB,AZ02,D1,-1,gene,-71,1,ansB,ansB
ansB,AZ02,D1,-1,Operon,-70,1,ansB,ansB
hsdM,AZ09,H2,-1,gene,-100,2,hsdM,hsdM
cmk,AZ09,H3,1,gene,-28,1,cmk,cmk
cmk,AZ09,H3,1,Operon,-28,1,cmk-rpsA-ihfB,"cmk,rpsA,ihfB"
yedX,AZ03,A7,1,gene,-47,1,hiuH,hiuH
yedX,AZ03,A7,1,Operon,-47,1,yedX,yedX
yeaU,AZ03,A6,1,gene,-94,1,dmlA,dmlA
yeaU,AZ03,A6,1,Operon,-94,1,dmlA,dmlA
ydiQ,AZ03,A5,1,gene,-98,1,ydiQ,ydiQ
ydiQ,AZ03,A5,1,Operon,-98,1,ydiQRST-fadK,"ydiQ,ydiR,ydiS,ydiT,fadK"
yneJ,AZ03,A4,1,gene,-75,1,yneJ,yneJ
yneJ,AZ03,A4,1,Operon,-75,1,yneJ,yneJ
yncE,AZ03,A3,1,gene,-31,1,yncE,yncE
yncE,AZ03,A3,1,Operon,-31,1,yncE,yncE
ycjX,AZ03,A2,1,gene,-54,1,ycjX,ycjX
ycjX,AZ03,A2,1,Operon,-54,1,ycjXF-tyrR,"ycjX,ycjF,tyrR"
ycjL,AZ03,A1,1,gene,-82,1,puuD,puuD
ycjL,AZ03,A1,1,Operon,-82,1,puuDRCBE,"puuD,puuR,puuC,puuB,puuE"
panE,AZ09,H6,-1,gene,-90,1,panE,panE
panE,AZ09,H6,-1,Operon,-89,1,panE-yajL,"panE,yajL"
yjiT,AZ03,A9,1,gene,-8,1,yjiT,yjiT
yjiT,AZ03,A9,1,Operon,-8,1,yjiT,yjiT
ygbA,AZ13,B6,-1,gene,-75,1,ygbA,ygbA
ygbA,AZ13,B6,-1,Operon,-74,1,ygbA,ygbA
ydaG,AZ16,B6,-1,gene,-43,1,ydaG,ydaG
ydaG,AZ16,B6,-1,Operon,-42,1,ydaGF,"ydaG,ydaF"
deoB,AZ05,B4,1,gene,-38,2,deoB,deoB
deoD,AZ05,B5,1,gene,-66,2,deoD,deoD
yodB,AZ05,B6,1,gene,-59,1,yodB,yodB
yodB,AZ05,B6,1,Operon,-59,1,yodB,yodB
yeeJ,AZ05,B7,1,gene,-357,1,asnT,asnT
yeeJ,AZ05,B7,1,Operon,-357,1,asnT,asnT
manX,AZ17,D1,1,gene,-91,1,manX,manX
manX,AZ17,D1,1,Operon,-91,1,manXYZ,"manX,manY,manZ"
yifM_2,AZ05,B1,1,gene,-51,3,wzyE,wzyE
metF,AZ05,B2,1,gene,-61,1,metF,metF
metF,AZ05,B2,1,Operon,-61,1,metF,metF
tyrP,AZ17,D2,1,gene,-43,1,tyrP,tyrP
tyrP,AZ17,D2,1,Operon,-43,1,tyrP,tyrP
ygiZ,AZ09,D10,-1,gene,-285,1,ygiZ,ygiZ
ygiZ,AZ09,D10,-1,Operon,-284,1,ygiZ,ygiZ
ygiD,AZ09,D11,-1,Operon,-80,1,ygiD,ygiD
ygiD,AZ09,D11,-1,gene,-54,2,ygiD,ygiD
ygiF,AZ09,D12,-1,gene,-81,1,ygiF,ygiF
ygiF,AZ09,D12,-1,Operon,-80,1,ygiF-glnE,"ygiF,glnE"
yeeU,AZ05,B8,1,gene,-37,1,cbeA,cbeA
b0259,AZ17,D8,-1,gene,-85,1,insH1,insH1
b0259,AZ17,D8,-1,Operon,-84,1,insH-1,insH-1
dacB,AZ08,G12,1,gene,-98,1,dacB,dacB
dacB,AZ08,G12,1,Operon,-98,1,dacB,dacB
ecfD,AZ08,G10,1,gene,-46,1,bamD,bamD
ecfD,AZ08,G10,1,Operon,-46,1,bamD,bamD
yqiJ,AZ08,G11,1,gene,-96,1,yqiJ,yqiJ
yqiJ,AZ08,G11,1,Operon,-96,1,yqiJK,"yqiJ,yqiK"
kefF,AZ18,A3,1,gene,-42,1,kefF,kefF
kefF,AZ18,A3,1,Operon,-42,1,kefFC,"kefF,kefC"
b3218,AZ18,A2,-1,gene,-85,1,insH1,insH1
b3218,AZ18,A2,-1,Operon,-84,1,insH-10,insH-10
yhdJ,AZ18,A1,1,gene,-27,1,yhdJ,yhdJ
yhdJ,AZ18,A1,1,Operon,-27,1,yhdJ,yhdJ
gst,AZ18,A7,1,gene,-29,1,gstA,gstA
gst,AZ18,A7,1,Operon,-29,1,gstA,gstA
fdrA,AZ13,D10,1,gene,-45,1,fdrA,fdrA
fdrA,AZ13,D10,1,Operon,-45,1,fdrA-ylbEF-ybcF,"fdrA,ylbE,ylbF,ybcF"
ribC,AZ18,A5,1,gene,-95,2,ribE,ribE
yccE,AZ13,D12,1,gene,-64,1,yccE,yccE
yccE,AZ13,D12,1,Operon,-64,1,yccE,yccE
nrdH,AZ18,A9,1,gene,-87,1,nrdH,nrdH
nrdH,AZ18,A9,1,Operon,-87,1,nrdHIEF,"nrdH,nrdI,nrdE,nrdF"
nrdB,AZ18,A8,1,gene,-72,1,nrdB,nrdB
b1998,AZ05,G12,1,gene,2655,1,xdhA,xdhA
b1998,AZ05,G12,1,Operon,2655,1,xdhABC,"xdhA,xdhB,xdhC"
yebF,AZ05,G11,-1,gene,-66,1,yebF,yebF
yebF,AZ05,G11,-1,Operon,-65,1,yebF,yebF
ydfO,AZ05,G10,1,gene,-108,1,ynfO,ynfO
ydfO,AZ05,G10,1,Operon,-108,1,ynfO-ydfO,"ynfO,ydfO"
cusR,AZ14,F8,-1,gene,-95,1,cusR,cusR
cusR,AZ14,F8,-1,Operon,-94,1,cusRS,"cusR,cusS"
uspG,AZ14,F9,-1,gene,-81,1,uspG,uspG
uspG,AZ14,F9,-1,Operon,-80,1,uspG,uspG
ycgY,AZ14,F2,1,gene,-60,1,ycgY,ycgY
ycgY,AZ14,F2,1,Operon,-60,1,ycgY,ycgY
ycgN,AZ14,F1,1,gene,-20,1,ycgN,ycgN
ycgN,AZ14,F1,1,Operon,-20,1,ycgN,ycgN
yciS,AZ14,F6,1,gene,-62,1,yciS,yciS
yciS,AZ14,F6,1,Operon,-62,1,lapAB-pyrF-yciH,"lapA,lapB,pyrF,yciH"
perR,AZ14,F7,-1,gene,-73,1,perR,perR
perR,AZ14,F7,-1,Operon,-72,1,perR,perR
rluB,AZ14,F5,1,gene,-91,1,rluB,rluB
rluB,AZ14,F5,1,Operon,-91,1,rluB,rluB
racC,AZ14,H4,-1,gene,-320,2,ydaE,ydaE
racC,AZ14,H4,-1,gene,-75,1,racC,racC
racC,AZ14,H4,-1,Operon,-74,1,racC,racC
ybaL,AZ14,H5,-1,gene,-73,1,ybaL,ybaL
ybaL,AZ14,H5,-1,Operon,-72,1,ybaL,ybaL
zitB,AZ14,H6,-1,gene,-83,1,zitB,zitB
zitB,AZ14,H6,-1,Operon,-82,1,zitB,zitB
sapA,AZ14,H7,-1,gene,-92,1,sapA,sapA
sapA,AZ14,H7,-1,Operon,-91,1,sapABCDF,"sapA,sapB,sapC,sapD,sapF"
lacZ,AZ14,H1,-1,gene,-91,1,lacZ,lacZ
lacZ,AZ14,H1,-1,Operon,-90,1,lacZYA,"lacZ,lacY,lacA"
kefG,AZ14,H2,-1,gene,-79,1,kefG,kefG
kefG,AZ14,H2,-1,Operon,-78,1,kefGB-yheV,"kefG,kefB,yheV"
yjjK,AZ14,H3,-1,gene,-97,1,ettA,ettA
yjjK,AZ14,H3,-1,Operon,-96,1,ettA,ettA
mglB,AZ14,H8,-1,gene,-81,1,mglB,mglB
mglB,AZ14,H8,-1,Operon,-80,1,mglBAC,"mglB,mglA,mglC"
nupX,AZ14,H9,-1,gene,-93,1,nupX,nupX
nupX,AZ14,H9,-1,Operon,-92,1,nupX,nupX
plsC,AZ09,A9,-1,gene,-87,1,plsC,plsC
plsC,AZ09,A9,-1,Operon,-86,1,plsC,plsC
prfB,AZ09,A8,-1,gene,-69,2,prfB,prfB
lepA,AZ09,A5,-1,gene,-69,1,lepA,lepA
lepA,AZ09,A5,-1,Operon,-68,1,lepAB,"lepA,lepB"
pgsA,AZ09,A4,-1,gene,-93,1,pgsA,pgsA
pgsA,AZ09,A4,-1,Operon,-92,1,pgsA,pgsA
lgt,AZ09,A7,-1,gene,-95,1,lgt,lgt
lgt,AZ09,A7,-1,Operon,-94,1,lgt-thyA,"lgt,thyA"
nlpD,AZ09,A6,-1,gene,-77,1,nlpD,nlpD
nlpD,AZ09,A6,-1,Operon,-76,1,nlpD-rpoS,"nlpD,rpoS"
cls,AZ09,A1,-1,gene,-98,1,clsA,clsA
cls,AZ09,A1,-1,Operon,-97,1,clsA-yciU,"clsA,yciU"
msbB,AZ09,A3,-1,gene,-83,1,lpxM,lpxM
msbB,AZ09,A3,-1,Operon,-82,1,lpxM,lpxM
nlpC,AZ09,A2,-1,gene,-86,1,nlpC,nlpC
nlpC,AZ09,A2,-1,Operon,-85,1,nlpC,nlpC
ybiU,AZ15,A10,-1,gene,-75,1,ybiU,ybiU
ybiU,AZ15,A10,-1,Operon,-74,1,ybiU,ybiU
ybiV,AZ15,A11,-1,gene,-84,1,ybiV,ybiV
ybiV,AZ15,A11,-1,Operon,-83,1,ybiV,ybiV
moeA,AZ07,G11,-1,gene,-85,1,moeA,moeA
moeA,AZ07,G11,-1,Operon,-84,1,moeAB,"moeA,moeB"
ybhK,AZ07,G10,-1,gene,-79,1,ybhK,ybhK
ybhK,AZ07,G10,-1,Operon,-78,1,ybhK,ybhK
lolB,AZ07,G12,-1,gene,-70,1,lolB,lolB
lolB,AZ07,G12,-1,Operon,-69,1,lolB-ispE-prs,"lolB,ispE,prs"
yqhH,AZ16,B1,1,gene,-90,1,yqhH,yqhH
yqhH,AZ16,B1,1,Operon,-90,1,yqhH,yqhH
gmr,AZ16,B2,-1,gene,-98,1,gmr,gmr
gmr,AZ16,B2,-1,Operon,-97,1,pdeR,pdeR
ymjA,AZ16,B3,-1,gene,-91,1,ymjA,ymjA
ymjA,AZ16,B3,-1,Operon,-90,1,ymjA,ymjA
uspE,AZ16,B4,-1,gene,-76,1,uspE,uspE
uspE,AZ16,B4,-1,Operon,-75,1,uspE,uspE
ydaO,AZ16,B5,-1,gene,-96,1,ttcA,ttcA
ydaO,AZ16,B5,-1,Operon,-95,1,ttcA,ttcA
yjhI,AZ05,G3,-1,gene,-73,1,yjhI,yjhI
yjhI,AZ05,G3,-1,Operon,-72,1,yjhIHG,"yjhI,yjhH,yjhG"
uspF,AZ16,B7,-1,gene,-28,1,uspF,uspF
uspF,AZ16,B7,-1,Operon,-27,1,uspF,uspF
yncJ,AZ16,B8,-1,gene,-69,1,yncJ,yncJ
yncJ,AZ16,B8,-1,Operon,-68,1,yncJ,yncJ
yddE,AZ16,B9,-1,gene,-76,1,yddE,yddE
yddE,AZ16,B9,-1,Operon,-75,1,yddE,yddE
rdoA,AZ12,A9,1,gene,-79,1,srkA,srkA
rdoA,AZ12,A9,1,Operon,-79,1,rdoA-dsbA,"rdoA,dsbA"
dpbA,AZ12,A8,-1,gene,-273,1,yihG,yihG
dpbA,AZ12,A8,-1,Operon,-272,1,yihG,yihG
insA_3,AZ12,A1,-1,gene,-81,1,insA,insA
insA_3,AZ12,A1,-1,Operon,-80,1,insAB-3A-3B-3,"insA-3,insAB-3,insB-3"
pth,AZ12,A3,-1,gene,-86,1,pth,pth
pth,AZ12,A3,-1,Operon,-85,1,pth-ychF,"pth,ychF"
ascG,AZ12,A2,-1,gene,-73,1,ascG,ascG
ascG,AZ12,A2,-1,Operon,-72,1,ascG,ascG
b1420,AZ12,A5,-1,gene,-79,1,mokB,mokB
b1420,AZ12,A5,-1,Operon,-78,1,mokB,mokB
b1420,AZ12,A5,-1,gene,-21,2,hokB,hokB
b1420,AZ12,A5,-1,Operon,-20,2,hokB,hokB
ais,AZ12,A4,-1,gene,-87,1,ais,ais
ais,AZ12,A4,-1,Operon,-86,1,ais,ais
napF,AZ12,A7,-1,gene,-93,1,napF,napF
napF,AZ12,A7,-1,Operon,-92,1,napFDAGHBC-ccmABCDEFGH,"napF,napD,napA,napG,napH,napB,napC,ccmA,ccmB,ccmC,ccmD,ccmE,ccmF,ccmG,ccmH"
yjiY,AZ12,A6,-1,gene,-68,1,yjiY,yjiY
yjiY,AZ12,A6,-1,Operon,-67,1,yjiY,yjiY
uvrC,AZ20,B5,-1,gene,-154,4,uvrC,uvrC
relA,AZ20,B4,-1,gene,-73,1,relA,relA
relA,AZ20,B4,-1,Operon,-72,1,relA-mazEFG,"relA,mazE,mazF,mazG"
cynT,AZ20,B7,1,gene,-40,1,cynT,cynT
cynT,AZ20,B7,1,Operon,-40,1,cynTSX,"cynT,cynS,cynX"
ihfB,AZ20,B6,1,gene,-43,2,ihfB,ihfB
malF,AZ20,B1,-1,gene,-73,2,malF,malF
rhaT,AZ20,B3,-1,gene,-74,1,rhaT,rhaT
rhaT,AZ20,B3,-1,Operon,-73,1,rhaT,rhaT
flgM,AZ20,B2,-1,gene,-88,3,flgM,flgM
htpG,AZ20,B9,1,gene,-65,1,htpG,htpG
htpG,AZ20,B9,1,Operon,-65,1,htpG,htpG
flgB,AZ20,B8,1,gene,-79,1,flgB,flgB
flgB,AZ20,B8,1,Operon,-79,1,flgBCDEFGHIJ,"flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ"
ytfQ,AZ15,E4,1,gene,-48,1,ytfQ,ytfQ
ytfQ,AZ15,E4,1,Operon,-48,1,ytfQRT-yjfF,"ytfQ,ytfR,ytfT,yjfF"
crcA,AZ15,E5,1,gene,-96,1,pagP,pagP
crcA,AZ15,E5,1,Operon,-96,1,pagP,pagP
ybjP,AZ15,E6,-1,gene,-99,1,ybjP,ybjP
ybjP,AZ15,E6,-1,Operon,-98,1,ybjP,ybjP
ybjL,AZ15,E7,-1,gene,-81,1,ybjL,ybjL
ybjL,AZ15,E7,-1,Operon,-80,1,ybjL,ybjL
ybjM,AZ15,E1,1,gene,-95,1,ybjM,ybjM
ybjM,AZ15,E1,1,Operon,-95,1,ybjM,ybjM
betT,AZ15,E2,1,gene,-81,1,betT,betT
betT,AZ15,E2,1,Operon,-81,1,betT,betT
entC,AZ15,E3,1,gene,-45,1,entC,entC
entC,AZ15,E3,1,Operon,-45,1,entCEBAH,"entC,entE,entB,entA,entH"
yliG,AZ15,E8,-1,gene,-98,1,rimO,rimO
yliG,AZ15,E8,-1,Operon,-97,1,rimO,rimO
fepB,AZ15,E9,-1,gene,-84,1,fepB,fepB
fepB,AZ15,E9,-1,Operon,-83,1,fepB,fepB
argU,AZ20,C11,1,gene,122,1,argU,argU
argU,AZ20,C11,1,Operon,122,1,argU,argU
garD,AZ20,C12,1,gene,-41,1,garD,garD
garD,AZ20,C12,1,Operon,-41,1,garD,garD
tdcG_2,AZ02,C11,-1,gene,-80,2,tdcG,tdcG
cysH,AZ02,C12,-1,gene,-81,2,cysH,cysH
yhiP,AZ03,G11,1,gene,-54,1,dtpB,dtpB
yhiP,AZ03,G11,1,Operon,-54,1,dtpB,dtpB
yhhZ,AZ03,G10,1,gene,-62,1,yhhZ,yhhZ
yhhZ,AZ03,G10,1,Operon,-62,1,yhhZ-yrhA-insA-6AB-6B-6,"yhhZ,yrhA,insA-6,insAB-6,insB-6"
b0582,AZ03,G12,1,gene,-417,3,sokE,sokE
b0582,AZ03,G12,1,gene,-315,1,hokE,hokE
b0582,AZ03,G12,1,Operon,-315,1,hokE,hokE
b0582,AZ03,G12,1,gene,-86,2,insL1,insL1
b0582,AZ03,G12,1,Operon,-86,2,insL-2,insL-2
nfo,AZ12,G12,1,gene,-39,1,nfo,nfo
nfo,AZ12,G12,1,Operon,-39,1,nfo,nfo
deoR,AZ04,B12,-1,gene,-83,1,deoR,deoR
deoR,AZ04,B12,-1,Operon,-82,1,deoR,deoR
dcuS,AZ04,B11,-1,gene,-97,1,dcuS,dcuS
dcuS,AZ04,B11,-1,Operon,-96,1,dcuSR,"dcuS,dcuR"
zraP,AZ04,B10,-1,gene,48,1,zraP,zraP
zraP,AZ04,B10,-1,Operon,49,1,zraP,zraP
ykgF,AZ11,E8,1,gene,-71,2,ykgF,ykgF
yajC,AZ11,E9,1,gene,-31,2,yajC,yajC
ftsJ,AZ11,E1,-1,gene,-100,1,rlmE,rlmE
ftsJ,AZ11,E1,-1,Operon,-99,1,rlmE-ftsH,"rlmE,ftsH"
ftsY,AZ11,E2,-1,gene,-72,1,ftsY,ftsY
ftsY,AZ11,E2,-1,Operon,-71,1,ftsYEX,"ftsY,ftsE,ftsX"
uspB,AZ11,E3,-1,gene,-83,1,uspB,uspB
uspB,AZ11,E3,-1,Operon,-82,1,uspB,uspB
yfjM,AZ11,E4,-1,gene,-92,1,yfjM,yfjM
yfjM,AZ11,E4,-1,Operon,-91,1,yfjM,yfjM
envY,AZ11,E5,-1,gene,-92,1,envY,envY
envY,AZ11,E5,-1,Operon,-91,1,envY-ompT,"envY,ompT"
dhaM,AZ11,E6,-1,gene,-66,2,dhaM,dhaM
speF,AZ11,E7,-1,gene,-295,1,speF,speF
speF,AZ11,E7,-1,Operon,-294,1,speF-potE,"speF,potE"
glpX,AZ02,E8,-1,gene,-80,4,glpX,glpX
yijF,AZ02,E9,-1,gene,-69,1,yijF,yijF
yijF,AZ02,E9,-1,Operon,-68,1,yijF,yijF
lacA,AZ21,A9,-1,gene,-69,2,lacA,lacA
yebF,AZ21,A8,-1,gene,-66,1,yebF,yebF
yebF,AZ21,A8,-1,Operon,-65,1,yebF,yebF
rhsB,AZ02,E4,1,gene,-86,1,rhsB,rhsB
rhsB,AZ02,E4,1,Operon,-86,1,rhsB,rhsB
yiaW,AZ02,E5,-1,gene,-100,1,yiaW,yiaW
yiaW,AZ02,E5,-1,Operon,-99,1,yiaWV,"yiaW,yiaV"
yidE,AZ02,E6,-1,gene,-44,1,yidE,yidE
yidE,AZ02,E6,-1,Operon,-43,1,yidE,yidE
gudP,AZ21,A4,-1,gene,-300,1,gudP,gudP
gudP,AZ21,A4,-1,Operon,-299,1,gudPXD,"gudP,gudX,gudD"
yafZ,AZ21,A3,-1,gene,-68,2,yafZ,yafZ
yhjJ,AZ02,E1,-1,gene,-73,1,yhjJ,yhjJ
yhjJ,AZ02,E1,-1,Operon,-72,1,yhjJ,yhjJ
yoaD,AZ21,A1,1,gene,-13,1,yoaD,yoaD
yoaD,AZ21,A1,1,Operon,-13,1,pdeD,pdeD
b3044,AZ02,E3,1,gene,-216,1,yqiG,yqiG
b3044,AZ02,E3,1,Operon,-135,2,insC-5CD-5D-5-yqiGHI,"insC-5,insCD-5,insD-5,yqiG,yqiH,yqiI"
b3044,AZ02,E3,1,gene,-90,3,insC1,insC1
ygjR,AZ09,C12,1,gene,-75,1,ygjR,ygjR
ygjR,AZ09,C12,1,Operon,-75,1,ygjR,ygjR
ygjQ,AZ09,C11,1,gene,-95,1,ygjQ,ygjQ
ygjQ,AZ09,C11,1,Operon,-95,1,ygjQ,ygjQ
nagA,AZ17,E2,-1,gene,-72,3,nagA,nagA
grxB,AZ17,E3,-1,gene,-74,1,grxB,grxB
grxB,AZ17,E3,-1,Operon,-73,1,grxB,grxB
yeaX,AZ05,A3,1,gene,-50,1,yeaX,yeaX
yeaX,AZ05,A3,1,Operon,-50,1,yeaX,yeaX
yhiJ,AZ05,A2,-1,gene,-80,1,yhiJ,yhiJ
yhiJ,AZ05,A2,-1,Operon,-79,1,yhiJ,yhiJ
b1966,AZ05,A5,1,Operon,-66,3,yedS_3,yedS_3
