UAL_promoter,Plate,Well,Strand,Type,Distance,Name,Genes,FeatureNo,Remove
yceF,AZ16,C6,-1,gene,-54,yceF,yceF,1,
yceF,AZ16,C6,-1,Operon,-54,yceF,yceF,1,
b1027,AZ16,C5,-1,Operon,-91,insEF-4E-4F-4,"insE-4,insEF-4,insF-4",1,
b1027,AZ16,C5,-1,gene,-82,insE1,insE1,1,
ycdM,AZ16,C4,-1,gene,-97,rutA,rutA,1,
ycdM,AZ16,C4,-1,Operon,-97,rutABCDEFG,"rutA,rutB,rutC,rutD,rutE,rutF,rutG",1,
ydhP,AZ16,C9,-1,gene,-329,ynhF,ynhF,1,
ydhP,AZ16,C9,-1,gene,-74,ydhP,ydhP,2,
ydhP,AZ16,C9,-1,Operon,-74,ydhP,ydhP,1,
b1142,AZ16,C8,1,gene,4,ymfI,ymfI,1,TRUE
b1142,AZ16,C8,1,Operon,5,ymfI,ymfI,1,TRUE
ydeO,AZ12,B8,-1,gene,-83,ydeO,ydeO,1,
eutR,AZ12,B9,-1,gene,-82,eutR,eutR,1,
trmU,AZ12,B4,-1,gene,-56,mnmA,mnmA,1,
trmU,AZ12,B4,-1,Operon,-56,mnmA,mnmA,1,
yadS,AZ12,B5,-1,gene,-80,yadS,yadS,1,
xylB,AZ12,B6,-1,gene,-68,xylB,xylB,1,
yggD,AZ12,B7,-1,gene,-98,yggD,yggD,1,
yadK,AZ12,B1,-1,gene,-73,yadK,yadK,1,
cpdA,AZ12,B2,-1,gene,-96,cpdA,cpdA,1,
yacG,AZ12,B3,-1,gene,-91,yacG,yacG,1,
usg,AZ06,B11,-1,gene,-81,usg,usg,1,
ubiX,AZ06,B10,-1,gene,-80,ubiX,ubiX,1,
yfcU,AZ06,B12,-1,gene,-96,yfcU,yfcU,1,
yfcU,AZ06,B12,-1,Operon,-96,yfcUTSRQPO,"yfcU,yfcT,yfcS,yfcR,yfcQ,yfcP,yfcO",1,
ycfS,AZ15,D7,-1,gene,-94,ldtC,ldtC,1,
ycfS,AZ15,D7,-1,Operon,-94,ldtC,ldtC,1,
pspF,AZ15,D6,-1,gene,-79,pspF,pspF,1,
pspF,AZ15,D6,-1,Operon,-79,pspF,pspF,1,
yceP,AZ15,D5,-1,gene,-96,bssS,bssS,1,
yceP,AZ15,D5,-1,Operon,-96,bssS,bssS,1,
ydfZ,AZ15,D4,1,gene,-68,ydfZ,ydfZ,1,
ydfZ,AZ15,D4,1,Operon,-67,ydfZ,ydfZ,1,
ycgH,AZ14,E12,1,Operon,-60,ycgH_2,ycgH_2,1,
ydcX,AZ15,D1,1,gene,6,ydcX,ydcX,1,
ydcX,AZ15,D1,1,Operon,7,ortT,ortT,1,TRUE
yceK,AZ14,E10,1,gene,169,yceK,yceK,1,
yceK,AZ14,E10,1,Operon,170,yceK,yceK,1,
mdtH,AZ20,A1,-1,gene,-69,mdtH,mdtH,1,
mdtH,AZ20,A1,-1,Operon,-69,mdtH,mdtH,1,
ygjD,AZ20,A2,-1,gene,-71,tsaD,tsaD,1,
ygjD,AZ20,A2,-1,Operon,-71,tsaD,tsaD,1,
yjfY,AZ20,A3,-1,gene,-71,yjfY,yjfY,1,
yjfY,AZ20,A3,-1,Operon,-71,yjfY,yjfY,1,
rrnD,AZ20,A4,-1,gene,-100,rrsD,rrsD,1,
rrnD,AZ20,A4,-1,Operon,-100,rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF,"rrsD,ileU,alaU,rrlD,rrfD,thrV,rrfF",1,
ftsZ,AZ20,A5,1,gene,170,ftsZ,ftsZ,1,
ycgX,AZ15,D9,-1,gene,-100,ycgX,ycgX,1,
ycgX,AZ15,D9,-1,Operon,-100,ycgX,ycgX,1,
ycfD,AZ15,D8,-1,gene,-81,roxA,roxA,1,
ycfD,AZ15,D8,-1,Operon,-81,roxA,roxA,1,
ymcE,AZ07,D12,1,gene,-53,ymcE,ymcE,1,
ymcE,AZ07,D12,1,Operon,-52,ymcE-gnsA,"ymcE,gnsA",1,
ybhJ,AZ07,D10,1,gene,-77,ybhJ,ybhJ,1,
ybhJ,AZ07,D10,1,Operon,-76,ybhJ,ybhJ,1,
pqiA,AZ07,D11,1,gene,-47,pqiA,pqiA,1,
pqiA,AZ07,D11,1,Operon,-46,pqiAB,"pqiA,pqiB",1,
hemB,AZ07,A3,-1,gene,-65,hemB,hemB,1,
hemB,AZ07,A3,-1,Operon,-65,hemB,hemB,1,
rhtB,AZ07,A2,-1,gene,-295,rhtB,rhtB,1,
rhtB,AZ07,A2,-1,Operon,-295,rhtB,rhtB,1,
cspB,AZ11,D8,-1,gene,-72,cspB,cspB,1,
cspB,AZ11,D8,-1,Operon,-72,cspB,cspB,1,
ynfK,AZ07,A7,-1,gene,-88,ynfK,ynfK,1,
lipB,AZ07,A6,-1,gene,-160,lipB,lipB,1,
lipA,AZ07,A5,-1,gene,-68,lipA,lipA,1,
lipA,AZ07,A5,-1,Operon,-68,lipA,lipA,1,
entD,AZ07,A4,-1,gene,-81,entD,entD,1,
ydhH,AZ11,D3,-1,gene,-91,anmK,anmK,1,
ydhH,AZ11,D3,-1,Operon,-91,anmK,anmK,1,
ydgC,AZ11,D2,-1,gene,-94,ydgC,ydgC,1,
ydgC,AZ11,D2,-1,Operon,-94,ydgC,ydgC,1,
ynfC,AZ11,D1,-1,gene,-59,ynfC,ynfC,1,
ynfC,AZ11,D1,-1,Operon,-59,ynfC,ynfC,1,
intF,AZ07,A8,-1,gene,-86,intF,intF,1,
intF,AZ07,A8,-1,Operon,-86,intF,intF,1,
crcB,AZ11,D7,-1,gene,-100,flc,flc,1,
crcB,AZ11,D7,-1,Operon,-100,crcB,crcB,1,
imp,AZ11,D6,-1,gene,-96,lptD,lptD,1,
imp,AZ11,D6,-1,Operon,-96,lptD-surA-pdxA-rsmA-apaGH,"lptD,surA,pdxA,rsmA,apaG,apaH",1,
yjjJ,AZ11,D5,1,gene,-79,yjjJ,yjjJ,1,
yjjJ,AZ11,D5,1,Operon,-78,yjjJ,yjjJ,1,
ydhD,AZ11,D4,-1,gene,-101,grxD,grxD,1,
ydhD,AZ11,D4,-1,Operon,-101,grxD,grxD,1,
b0165,AZ12,A11,-1,gene,-32,yaeI,yaeI,1,
b0165,AZ12,A11,-1,Operon,-32,yaeI,yaeI,1,
pck,AZ12,A10,1,gene,-37,pck,pck,1,
pck,AZ12,A10,1,Operon,-36,pck,pck,1,
htrA,AZ04,E10,1,gene,-66,degP,degP,1,
htrA,AZ04,E10,1,Operon,-65,degP,degP,1,
yedQ,AZ04,E11,-1,gene,-74,yedQ,yedQ,1,
yedQ,AZ04,E11,-1,Operon,-74,dgcQ,dgcQ,1,
erfK,AZ04,E12,-1,gene,-97,ldtA,ldtA,1,
erfK,AZ04,E12,-1,Operon,-97,ldtA,ldtA,1,
katG,AZ20,D12,1,gene,-47,katG,katG,1,
katG,AZ20,D12,1,Operon,-46,katG,katG,1,
greB,AZ20,D11,1,gene,-19,greB,greB,1,
greB,AZ20,D11,1,Operon,-18,greB,greB,1,
fliL,AZ20,D10,1,gene,-40,fliL,fliL,1,
fliL,AZ20,D10,1,Operon,-39,fliLMNOPQR,"fliL,fliM,fliN,fliO,fliP,fliQ,fliR",1,
ydcL,AZ15,C11,1,gene,-43,ydcL,ydcL,1,
ydcL,AZ15,C11,1,Operon,-42,ydcL,ydcL,1,
deaD,AZ08,E2,-1,gene,-120,yrbN,yrbN,1,
deaD,AZ08,E2,-1,Operon,-120,yrbN-deaD,"yrbN,deaD",1,
deaD,AZ08,E2,-1,gene,-47,deaD,deaD,2,TRUE
pnp,AZ08,E3,-1,gene,-19,pnp,pnp,1,
glyU,AZ08,E1,-1,gene,-100,glyU,glyU,1,
glyU,AZ08,E1,-1,Operon,-100,glyU,glyU,1,
yhaJ,AZ08,E6,-1,gene,-100,yhaJ,yhaJ,1,
yhaJ,AZ08,E6,-1,Operon,-100,yhaJ,yhaJ,1,
yhdA,AZ08,E7,-1,gene,-82,csrD,csrD,1,
yhdA,AZ08,E7,-1,Operon,-82,csrD,csrD,1,
rhsD,AZ08,E4,1,gene,-56,rhsD,rhsD,1,
rhsD,AZ08,E4,1,Operon,-55,rhsD-ybbC-ylbH-ybbD,"rhsD,ybbC,ylbH,ybbD",1,
emrR,AZ02,D8,1,gene,-66,mprA,mprA,1,
emrR,AZ02,D8,1,Operon,-65,mprA-emrAB,"mprA,emrA,emrB",1,
cadA,AZ02,D7,-1,gene,-71,cadA,cadA,1,
adiA,AZ02,D6,-1,gene,-80,adiA,adiA,1,
adiA,AZ02,D6,-1,Operon,-80,adiA,adiA,1,
speC,AZ06,H11,-1,gene,-34,speC,speC,1,
speC,AZ06,H11,-1,Operon,-34,speC,speC,1,
xapA,AZ06,H10,-1,gene,-79,xapA,xapA,1,
xapA,AZ06,H10,-1,Operon,-79,xapAB,"xapA,xapB",1,
intA,AZ02,D3,1,gene,-92,intA,intA,1,
intA,AZ02,D3,1,Operon,-91,intA,intA,1,
ansB,AZ02,D1,-1,gene,-71,ansB,ansB,1,
ansB,AZ02,D1,-1,Operon,-71,ansB,ansB,1,
hsdM,AZ09,H2,-1,gene,-100,hsdM,hsdM,1,
cmk,AZ09,H3,1,gene,-28,cmk,cmk,1,
cmk,AZ09,H3,1,Operon,-27,cmk-rpsA-ihfB,"cmk,rpsA,ihfB",1,
yedX,AZ03,A7,1,gene,-47,hiuH,hiuH,1,
yedX,AZ03,A7,1,Operon,-46,yedX,yedX,1,
yeaU,AZ03,A6,1,gene,-94,dmlA,dmlA,1,
yeaU,AZ03,A6,1,Operon,-93,dmlA,dmlA,1,
ydiQ,AZ03,A5,1,gene,-98,ydiQ,ydiQ,1,
ydiQ,AZ03,A5,1,Operon,-97,ydiQRST-fadK,"ydiQ,ydiR,ydiS,ydiT,fadK",1,
yneJ,AZ03,A4,1,gene,-75,yneJ,yneJ,1,
yneJ,AZ03,A4,1,Operon,-74,yneJ,yneJ,1,
yncE,AZ03,A3,1,gene,-31,yncE,yncE,1,
yncE,AZ03,A3,1,Operon,-30,yncE,yncE,1,
ycjX,AZ03,A2,1,gene,-54,ycjX,ycjX,1,
ycjX,AZ03,A2,1,Operon,-53,ycjXF-tyrR,"ycjX,ycjF,tyrR",1,
ycjL,AZ03,A1,1,gene,-82,puuD,puuD,1,
ycjL,AZ03,A1,1,Operon,-81,puuDRCBE,"puuD,puuR,puuC,puuB,puuE",1,
panE,AZ09,H6,-1,gene,-90,panE,panE,1,
panE,AZ09,H6,-1,Operon,-90,panE-yajL,"panE,yajL",1,
yjiT,AZ03,A9,1,gene,-8,yjiT,yjiT,1,
yjiT,AZ03,A9,1,Operon,-7,yjiT,yjiT,1,
ygbA,AZ13,B6,-1,gene,-75,ygbA,ygbA,1,
ygbA,AZ13,B6,-1,Operon,-75,ygbA,ygbA,1,
ydaG,AZ16,B6,-1,gene,-43,ydaG,ydaG,1,
ydaG,AZ16,B6,-1,Operon,-43,ydaGF,"ydaG,ydaF",1,
deoB,AZ05,B4,1,gene,-38,deoB,deoB,1,
deoD,AZ05,B5,1,gene,-66,deoD,deoD,1,
yodB,AZ05,B6,1,gene,-59,yodB,yodB,1,
yodB,AZ05,B6,1,Operon,-58,yodB,yodB,1,
yeeJ,AZ05,B7,1,gene,-357,asnT,asnT,1,
yeeJ,AZ05,B7,1,Operon,-356,asnT,asnT,1,
manX,AZ17,D1,1,gene,-91,manX,manX,1,
manX,AZ17,D1,1,Operon,-90,manXYZ,"manX,manY,manZ",1,
yifM_2,AZ05,B1,1,gene,-51,wzyE,wzyE,1,
metF,AZ05,B2,1,gene,-61,metF,metF,1,
metF,AZ05,B2,1,Operon,-60,metF,metF,1,
tyrP,AZ17,D2,1,gene,-43,tyrP,tyrP,1,
tyrP,AZ17,D2,1,Operon,-42,tyrP,tyrP,1,
ygiZ,AZ09,D10,-1,gene,-285,ygiZ,ygiZ,1,
ygiZ,AZ09,D10,-1,Operon,-285,ygiZ,ygiZ,1,
ygiD,AZ09,D11,-1,Operon,-81,ygiD,ygiD,1,
ygiD,AZ09,D11,-1,gene,-54,ygiD,ygiD,1,
ygiF,AZ09,D12,-1,gene,-81,ygiF,ygiF,1,
ygiF,AZ09,D12,-1,Operon,-81,ygiF-glnE,"ygiF,glnE",1,
yeeU,AZ05,B8,1,gene,-37,cbeA,cbeA,1,
b0259,AZ17,D8,-1,gene,-85,insH1,insH1,1,
b0259,AZ17,D8,-1,Operon,-85,insH-1,insH-1,1,
dacB,AZ08,G12,1,gene,-98,dacB,dacB,1,
dacB,AZ08,G12,1,Operon,-97,dacB,dacB,1,
ecfD,AZ08,G10,1,gene,-46,bamD,bamD,1,
ecfD,AZ08,G10,1,Operon,-45,bamD,bamD,1,
yqiJ,AZ08,G11,1,gene,-96,yqiJ,yqiJ,1,
yqiJ,AZ08,G11,1,Operon,-95,yqiJK,"yqiJ,yqiK",1,
kefF,AZ18,A3,1,gene,-42,kefF,kefF,1,
kefF,AZ18,A3,1,Operon,-41,kefFC,"kefF,kefC",1,
b3218,AZ18,A2,-1,gene,-85,insH1,insH1,1,
b3218,AZ18,A2,-1,Operon,-85,insH-10,insH-10,1,
yhdJ,AZ18,A1,1,gene,-27,yhdJ,yhdJ,1,
yhdJ,AZ18,A1,1,Operon,-26,yhdJ,yhdJ,1,
gst,AZ18,A7,1,gene,-29,gstA,gstA,1,
gst,AZ18,A7,1,Operon,-28,gstA,gstA,1,
fdrA,AZ13,D10,1,gene,-45,fdrA,fdrA,1,
fdrA,AZ13,D10,1,Operon,-44,fdrA-ylbEF-ybcF,"fdrA,ylbE,ylbF,ybcF",1,
yccE,AZ13,D12,1,gene,-64,yccE,yccE,1,
yccE,AZ13,D12,1,Operon,-63,yccE,yccE,1,
nrdH,AZ18,A9,1,gene,-87,nrdH,nrdH,1,
nrdH,AZ18,A9,1,Operon,-86,nrdHIEF,"nrdH,nrdI,nrdE,nrdF",1,
nrdB,AZ18,A8,1,gene,-72,nrdB,nrdB,1,
yebF,AZ05,G11,-1,gene,-66,yebF,yebF,1,
yebF,AZ05,G11,-1,Operon,-66,yebF,yebF,1,
ydfO,AZ05,G10,1,gene,-108,ynfO,ynfO,1,
ydfO,AZ05,G10,1,Operon,-107,ynfO-ydfO,"ynfO,ydfO",1,
cusR,AZ14,F8,-1,gene,-95,cusR,cusR,1,
cusR,AZ14,F8,-1,Operon,-95,cusRS,"cusR,cusS",1,
uspG,AZ14,F9,-1,gene,-81,uspG,uspG,1,
uspG,AZ14,F9,-1,Operon,-81,uspG,uspG,1,
ycgY,AZ14,F2,1,gene,-60,ycgY,ycgY,1,
ycgY,AZ14,F2,1,Operon,-59,ycgY,ycgY,1,
ycgN,AZ14,F1,1,gene,-20,ycgN,ycgN,1,
ycgN,AZ14,F1,1,Operon,-19,ycgN,ycgN,1,
yciS,AZ14,F6,1,gene,-62,yciS,yciS,1,
yciS,AZ14,F6,1,Operon,-61,lapAB-pyrF-yciH,"lapA,lapB,pyrF,yciH",1,
perR,AZ14,F7,-1,gene,-73,perR,perR,1,
perR,AZ14,F7,-1,Operon,-73,perR,perR,1,
rluB,AZ14,F5,1,gene,-91,rluB,rluB,1,
rluB,AZ14,F5,1,Operon,-90,rluB,rluB,1,
racC,AZ14,H4,-1,gene,-320,ydaE,ydaE,1,TRUE
racC,AZ14,H4,-1,gene,-75,racC,racC,2,
racC,AZ14,H4,-1,Operon,-75,racC,racC,1,
ybaL,AZ14,H5,-1,gene,-73,ybaL,ybaL,1,
ybaL,AZ14,H5,-1,Operon,-73,ybaL,ybaL,1,
zitB,AZ14,H6,-1,gene,-83,zitB,zitB,1,
zitB,AZ14,H6,-1,Operon,-83,zitB,zitB,1,
sapA,AZ14,H7,-1,gene,-92,sapA,sapA,1,
sapA,AZ14,H7,-1,Operon,-92,sapABCDF,"sapA,sapB,sapC,sapD,sapF",1,
lacZ,AZ14,H1,-1,gene,-91,lacZ,lacZ,1,
lacZ,AZ14,H1,-1,Operon,-91,lacZYA,"lacZ,lacY,lacA",1,
kefG,AZ14,H2,-1,gene,-79,kefG,kefG,1,
kefG,AZ14,H2,-1,Operon,-79,kefGB-yheV,"kefG,kefB,yheV",1,
yjjK,AZ14,H3,-1,gene,-97,ettA,ettA,1,
yjjK,AZ14,H3,-1,Operon,-97,ettA,ettA,1,
mglB,AZ14,H8,-1,gene,-81,mglB,mglB,1,
mglB,AZ14,H8,-1,Operon,-81,mglBAC,"mglB,mglA,mglC",1,
nupX,AZ14,H9,-1,gene,-93,nupX,nupX,1,
nupX,AZ14,H9,-1,Operon,-93,nupX,nupX,1,
plsC,AZ09,A9,-1,gene,-87,plsC,plsC,1,
plsC,AZ09,A9,-1,Operon,-87,plsC,plsC,1,
prfB,AZ09,A8,-1,gene,-69,prfB,prfB,1,
lepA,AZ09,A5,-1,gene,-69,lepA,lepA,1,
lepA,AZ09,A5,-1,Operon,-69,lepAB,"lepA,lepB",1,
pgsA,AZ09,A4,-1,gene,-93,pgsA,pgsA,1,
pgsA,AZ09,A4,-1,Operon,-93,pgsA,pgsA,1,
lgt,AZ09,A7,-1,gene,-95,lgt,lgt,1,
lgt,AZ09,A7,-1,Operon,-95,lgt-thyA,"lgt,thyA",1,
nlpD,AZ09,A6,-1,gene,-77,nlpD,nlpD,1,
nlpD,AZ09,A6,-1,Operon,-77,nlpD-rpoS,"nlpD,rpoS",1,
cls,AZ09,A1,-1,gene,-98,clsA,clsA,1,
cls,AZ09,A1,-1,Operon,-98,clsA-yciU,"clsA,yciU",1,
msbB,AZ09,A3,-1,gene,-83,lpxM,lpxM,1,
msbB,AZ09,A3,-1,Operon,-83,lpxM,lpxM,1,
nlpC,AZ09,A2,-1,gene,-86,nlpC,nlpC,1,
nlpC,AZ09,A2,-1,Operon,-86,nlpC,nlpC,1,
ybiU,AZ15,A10,-1,gene,-75,ybiU,ybiU,1,
ybiU,AZ15,A10,-1,Operon,-75,ybiU,ybiU,1,
ybiV,AZ15,A11,-1,gene,-84,ybiV,ybiV,1,
ybiV,AZ15,A11,-1,Operon,-84,ybiV,ybiV,1,
moeA,AZ07,G11,-1,gene,-85,moeA,moeA,1,
moeA,AZ07,G11,-1,Operon,-85,moeAB,"moeA,moeB",1,
ybhK,AZ07,G10,-1,gene,-79,ybhK,ybhK,1,
ybhK,AZ07,G10,-1,Operon,-79,ybhK,ybhK,1,
lolB,AZ07,G12,-1,gene,-70,lolB,lolB,1,
lolB,AZ07,G12,-1,Operon,-70,lolB-ispE-prs,"lolB,ispE,prs",1,
yqhH,AZ16,B1,1,gene,-90,yqhH,yqhH,1,
yqhH,AZ16,B1,1,Operon,-89,yqhH,yqhH,1,
gmr,AZ16,B2,-1,gene,-98,gmr,gmr,1,
gmr,AZ16,B2,-1,Operon,-98,pdeR,pdeR,1,
ymjA,AZ16,B3,-1,gene,-91,ymjA,ymjA,1,
ymjA,AZ16,B3,-1,Operon,-91,ymjA,ymjA,1,
uspE,AZ16,B4,-1,gene,-76,uspE,uspE,1,
uspE,AZ16,B4,-1,Operon,-76,uspE,uspE,1,
ydaO,AZ16,B5,-1,gene,-96,ttcA,ttcA,1,
ydaO,AZ16,B5,-1,Operon,-96,ttcA,ttcA,1,
yjhI,AZ05,G3,-1,gene,-73,yjhI,yjhI,1,
yjhI,AZ05,G3,-1,Operon,-73,yjhIHG,"yjhI,yjhH,yjhG",1,
uspF,AZ16,B7,-1,gene,-28,uspF,uspF,1,
uspF,AZ16,B7,-1,Operon,-28,uspF,uspF,1,
yncJ,AZ16,B8,-1,gene,-69,yncJ,yncJ,1,
yncJ,AZ16,B8,-1,Operon,-69,yncJ,yncJ,1,
yddE,AZ16,B9,-1,gene,-76,yddE,yddE,1,
yddE,AZ16,B9,-1,Operon,-76,yddE,yddE,1,
rdoA,AZ12,A9,1,gene,-79,srkA,srkA,1,
rdoA,AZ12,A9,1,Operon,-78,rdoA-dsbA,"rdoA,dsbA",1,
dpbA,AZ12,A8,-1,gene,-273,yihG,yihG,1,
dpbA,AZ12,A8,-1,Operon,-273,yihG,yihG,1,
insA_3,AZ12,A1,-1,gene,-81,insA,insA,1,
insA_3,AZ12,A1,-1,Operon,-81,insAB-3A-3B-3,"insA-3,insAB-3,insB-3",1,
pth,AZ12,A3,-1,gene,-86,pth,pth,1,
pth,AZ12,A3,-1,Operon,-86,pth-ychF,"pth,ychF",1,
ascG,AZ12,A2,-1,gene,-73,ascG,ascG,1,
ascG,AZ12,A2,-1,Operon,-73,ascG,ascG,1,
b1420,AZ12,A5,-1,gene,-79,mokB,mokB,1,
b1420,AZ12,A5,-1,Operon,-79,mokB,mokB,1,
b1420,AZ12,A5,-1,gene,-21,hokB,hokB,2,
b1420,AZ12,A5,-1,Operon,-21,hokB,hokB,2,
ais,AZ12,A4,-1,gene,-87,ais,ais,1,
ais,AZ12,A4,-1,Operon,-87,ais,ais,1,
napF,AZ12,A7,-1,gene,-93,napF,napF,1,
napF,AZ12,A7,-1,Operon,-93,napFDAGHBC-ccmABCDEFGH,"napF,napD,napA,napG,napH,napB,napC,ccmA,ccmB,ccmC,ccmD,ccmE,ccmF,ccmG,ccmH",1,
yjiY,AZ12,A6,-1,gene,-68,yjiY,yjiY,1,
yjiY,AZ12,A6,-1,Operon,-68,yjiY,yjiY,1,
uvrC,AZ20,B5,-1,gene,-154,uvrC,uvrC,1,
relA,AZ20,B4,-1,gene,-73,relA,relA,1,
relA,AZ20,B4,-1,Operon,-73,relA-mazEFG,"relA,mazE,mazF,mazG",1,
cynT,AZ20,B7,1,gene,-40,cynT,cynT,1,
cynT,AZ20,B7,1,Operon,-39,cynTSX,"cynT,cynS,cynX",1,
ihfB,AZ20,B6,1,gene,-43,ihfB,ihfB,1,
malF,AZ20,B1,-1,gene,-73,malF,malF,1,
rhaT,AZ20,B3,-1,gene,-74,rhaT,rhaT,1,
rhaT,AZ20,B3,-1,Operon,-74,rhaT,rhaT,1,
flgM,AZ20,B2,-1,gene,-88,flgM,flgM,1,
htpG,AZ20,B9,1,gene,-65,htpG,htpG,1,
htpG,AZ20,B9,1,Operon,-64,htpG,htpG,1,
flgB,AZ20,B8,1,gene,-79,flgB,flgB,1,
flgB,AZ20,B8,1,Operon,-78,flgBCDEFGHIJ,"flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ",1,
ytfQ,AZ15,E4,1,gene,-48,ytfQ,ytfQ,1,
ytfQ,AZ15,E4,1,Operon,-47,ytfQRT-yjfF,"ytfQ,ytfR,ytfT,yjfF",1,
crcA,AZ15,E5,1,gene,-96,pagP,pagP,1,
crcA,AZ15,E5,1,Operon,-95,pagP,pagP,1,
ybjP,AZ15,E6,-1,gene,-99,ybjP,ybjP,1,
ybjP,AZ15,E6,-1,Operon,-99,ybjP,ybjP,1,
ybjL,AZ15,E7,-1,gene,-81,ybjL,ybjL,1,
ybjL,AZ15,E7,-1,Operon,-81,ybjL,ybjL,1,
ybjM,AZ15,E1,1,gene,-95,ybjM,ybjM,1,
ybjM,AZ15,E1,1,Operon,-94,ybjM,ybjM,1,
betT,AZ15,E2,1,gene,-81,betT,betT,1,
betT,AZ15,E2,1,Operon,-80,betT,betT,1,
entC,AZ15,E3,1,gene,-45,entC,entC,1,
entC,AZ15,E3,1,Operon,-44,entCEBAH,"entC,entE,entB,entA,entH",1,
yliG,AZ15,E8,-1,gene,-98,rimO,rimO,1,
yliG,AZ15,E8,-1,Operon,-98,rimO,rimO,1,
fepB,AZ15,E9,-1,gene,-84,fepB,fepB,1,
fepB,AZ15,E9,-1,Operon,-84,fepB,fepB,1,
argU,AZ20,C11,1,gene,122,argU,argU,1,
argU,AZ20,C11,1,Operon,123,argU,argU,1,
garD,AZ20,C12,1,gene,-41,garD,garD,1,
garD,AZ20,C12,1,Operon,-40,garD,garD,1,
tdcG_2,AZ02,C11,-1,gene,-80,tdcG,tdcG,1,
cysH,AZ02,C12,-1,gene,-81,cysH,cysH,1,
yhiP,AZ03,G11,1,gene,-54,dtpB,dtpB,1,
yhiP,AZ03,G11,1,Operon,-53,dtpB,dtpB,1,
yhhZ,AZ03,G10,1,gene,-62,yhhZ,yhhZ,1,
yhhZ,AZ03,G10,1,Operon,-61,yhhZ-yrhA-insA-6AB-6B-6,"yhhZ,yrhA,insA-6,insAB-6,insB-6",1,
b0582,AZ03,G12,1,gene,-417,sokE,sokE,1,
b0582,AZ03,G12,1,gene,-315,hokE,hokE,2,
b0582,AZ03,G12,1,Operon,-314,hokE,hokE,1,
b0582,AZ03,G12,1,gene,-86,insL1,insL1,3,
b0582,AZ03,G12,1,Operon,-85,insL-2,insL-2,2,
nfo,AZ12,G12,1,gene,-39,nfo,nfo,1,
nfo,AZ12,G12,1,Operon,-38,nfo,nfo,1,
deoR,AZ04,B12,-1,gene,-83,deoR,deoR,1,
deoR,AZ04,B12,-1,Operon,-83,deoR,deoR,1,
dcuS,AZ04,B11,-1,gene,-97,dcuS,dcuS,1,
dcuS,AZ04,B11,-1,Operon,-97,dcuSR,"dcuS,dcuR",1,
zraP,AZ04,B10,-1,gene,48,zraP,zraP,1,
zraP,AZ04,B10,-1,Operon,48,zraP,zraP,1,
ykgF,AZ11,E8,1,gene,-71,ykgF,ykgF,1,
yajC,AZ11,E9,1,gene,-31,yajC,yajC,1,
ftsJ,AZ11,E1,-1,gene,-100,rlmE,rlmE,1,
ftsJ,AZ11,E1,-1,Operon,-100,rlmE-ftsH,"rlmE,ftsH",1,
ftsY,AZ11,E2,-1,gene,-72,ftsY,ftsY,1,
ftsY,AZ11,E2,-1,Operon,-72,ftsYEX,"ftsY,ftsE,ftsX",1,
uspB,AZ11,E3,-1,gene,-83,uspB,uspB,1,
uspB,AZ11,E3,-1,Operon,-83,uspB,uspB,1,
yfjM,AZ11,E4,-1,gene,-92,yfjM,yfjM,1,
yfjM,AZ11,E4,-1,Operon,-92,yfjM,yfjM,1,
envY,AZ11,E5,-1,gene,-92,envY,envY,1,
envY,AZ11,E5,-1,Operon,-92,envY-ompT,"envY,ompT",1,
dhaM,AZ11,E6,-1,gene,-66,dhaM,dhaM,1,
speF,AZ11,E7,-1,gene,-295,speF,speF,1,
speF,AZ11,E7,-1,Operon,-295,speF-potE,"speF,potE",1,
glpX,AZ02,E8,-1,gene,-80,glpX,glpX,1,
yijF,AZ02,E9,-1,gene,-69,yijF,yijF,1,
yijF,AZ02,E9,-1,Operon,-69,yijF,yijF,1,
lacA,AZ21,A9,-1,gene,-69,lacA,lacA,1,
yebF,AZ21,A8,-1,gene,-66,yebF,yebF,1,
yebF,AZ21,A8,-1,Operon,-66,yebF,yebF,1,
rhsB,AZ02,E4,1,gene,-86,rhsB,rhsB,1,
rhsB,AZ02,E4,1,Operon,-85,rhsB,rhsB,1,
yiaW,AZ02,E5,-1,gene,-100,yiaW,yiaW,1,
yiaW,AZ02,E5,-1,Operon,-100,yiaWV,"yiaW,yiaV",1,
yidE,AZ02,E6,-1,gene,-44,yidE,yidE,1,
yidE,AZ02,E6,-1,Operon,-44,yidE,yidE,1,
gudP,AZ21,A4,-1,gene,-300,gudP,gudP,1,
gudP,AZ21,A4,-1,Operon,-300,gudPXD,"gudP,gudX,gudD",1,
yafZ,AZ21,A3,-1,gene,-68,yafZ,yafZ,1,
yhjJ,AZ02,E1,-1,gene,-73,yhjJ,yhjJ,1,
yhjJ,AZ02,E1,-1,Operon,-73,yhjJ,yhjJ,1,
yoaD,AZ21,A1,1,gene,-13,yoaD,yoaD,1,
yoaD,AZ21,A1,1,Operon,-12,pdeD,pdeD,1,
b3044,AZ02,E3,1,gene,-216,yqiG,yqiG,1,TRUE
b3044,AZ02,E3,1,Operon,-134,insC-5CD-5D-5-yqiGHI,"insC-5,insCD-5,insD-5,yqiG,yqiH,yqiI",1,
