Plate,Well,Gene_Name,Strand,Amplicons,Amplicon_length,Mapping,Primer1_e,Primer1_query_start,Primer1_query_end,Primer1_target_start,Primer1_target_end,Primer2_e,Primer2_query_start,Primer2_query_end,Primer2_target_start,Primer2_target_end
AZ01,E10,cysP,-1,1,468,2543909..2543441,0.00352928,1,18,2543909,2543926,0.00352928,47,64,2543458,2543441
AZ01,E12,glyA,-1,1,437,2685841..2685404,0.00352928,1,18,2685841,2685858,5.7206e-05,47,67,2685424,2685404
AZ03,B5,yjcH,-1,1,349,4285492..4285143,0.00352928,1,18,4285492,4285509,0.00352928,47,64,4285160,4285143
AZ13,H5,allS,-1,1,353,532499..532146,0.00352928,1,18,532499,532516,0.00352928,47,64,532163,532146
AZ13,H4,ybaP,-1,1,233,508240..508007,0.00352928,1,18,508240,508257,0.000893177,47,69,508029,508007
AZ13,H7,allD,-1,1,420,546704..546284,5.81756e-05,1,21,546704,546724,0.00358909,48,65,546301,546284
AZ13,H6,ydcK,-1,1,266,1500622..1500356,0.00358909,1,18,1500622,1500639,0.000908316,47,65,1500374,1500356
AZ13,H1,lacZ,-1,1,231,366445..366214,0.00352928,1,18,366445,366462,0.00352928,47,64,366231,366214
AZ13,H3,yaiI,1,1,155,405569..405724,0.00352928,10,27,405569,405586,0.000893177,48,66,405706,405724
AZ13,H2,insA_2,-1,1,611,280405..279794,0.00352928,1,18,280405,280422,0.00352928,47,64,279811,279794
AZ05,B12,sieB,1,1,438,1418171..1418609,0.00352928,10,27,1418171,1418188,0.00352928,48,65,1418592,1418609
AZ13,H8,dsbG,-1,1,447,638983..638536,0.00352928,1,18,638983,639000,0.00352928,47,64,638553,638536
AZ05,B10,yeiP,1,1,293,2264973..2265266,0.00352928,10,27,2264973,2264990,0.00352928,48,65,2265249,2265266
AZ05,B11,b1331,1,1,332,1395829..1396161,0.00352928,10,27,1395829,1395846,0.00352928,48,65,1396144,1396161
AZ10,H1,lacZ,-1,1,231,366445..366214,0.00352928,1,18,366445,366462,0.00352928,47,64,366231,366214
AZ10,H2,rluF,1,1,366,4230049..4230415,0.000893177,9,27,4230049,4230067,0.00352928,48,65,4230398,4230415
AZ10,H3,mrr,1,1,296,4586725..4587021,0.00352928,10,27,4586725,4586742,0.000893177,48,66,4587003,4587021
AZ10,H4,yfaY,-1,1,254,2363812..2363558,0.00352928,1,18,2363812,2363829,0.00352928,47,64,2363575,2363558
AZ10,H5,elaB,-1,1,147,2381092..2380945,0.00352928,1,18,2381092,2381109,5.7206e-05,47,67,2380965,2380945
AZ10,H6,yfbU,-1,1,186,2412709..2412523,0.000893177,1,19,2412709,2412727,0.00352928,47,64,2412540,2412523
AZ10,H7,yfcD,-1,1,235,2419312..2419077,0.00352928,1,18,2419312,2419329,0.00352928,47,64,2419094,2419077
AZ10,H8,yfcE,-1,1,164,2419871..2419707,0.00352928,1,18,2419871,2419888,0.00352928,47,64,2419724,2419707
AZ10,H9,yfcI,-1,1,285,2423754..2423469,0.00352928,1,18,2423754,2423771,0.000893177,47,65,2423487,2423469
AZ16,A7,yjhF,-1,1,236,4521986..4521750,0.00352928,1,18,4521986,4522003,0.00352928,47,64,4521767,4521750
AZ16,A6,idnT,-1,1,198,4492622..4492424,0.00352928,1,18,4492622,4492639,0.000893177,47,65,4492442,4492424
AZ16,A1,focA,-1,1,539,954932..954393,0.00352928,1,18,954932,954949,0.00352928,47,64,954410,954393
AZ16,A3,narU,-1,1,413,1544402..1543989,0.000908316,1,19,1544402,1544420,0.00358909,48,65,1544006,1543989
AZ16,A2,mdtG,-1,1,291,1115683..1115392,0.000893177,1,19,1115683,1115701,0.00352928,47,64,1115409,1115392
AZ20,C2,motA,-1,1,245,1977310..1977065,0.00352928,1,18,1977310,1977327,0.00352928,47,64,1977082,1977065
AZ20,C3,serA,-1,1,363,3058687..3058324,0.00346946,1,18,3058687,3058704,0.0137091,47,63,3058340,3058324
AZ20,C1,lacZ,-1,1,231,366445..366214,0.00352928,1,18,366445,366462,0.00352928,47,64,366231,366214
AZ20,C6,uvrY,-1,1,618,1995877..1995259,0.000893177,1,19,1995877,1995895,0.00352928,47,64,1995276,1995259
AZ20,C7,cyaA,1,1,541,3990712..3991253,0.000893177,9,27,3990712,3990730,0.00352928,48,65,3991236,3991253
AZ20,C4,ompR,-1,1,324,3536813..3536489,0.00352928,1,18,3536813,3536830,0.00352928,47,64,3536506,3536489
AZ20,C5,relB,-1,1,149,1645931..1645782,0.000923454,1,19,1645931,1645949,0.000233705,47,66,1645801,1645782
AZ20,C8,rhaS,1,1,428,4097368..4097796,0.000893177,9,27,4097368,4097386,0.00352928,48,65,4097779,4097796
AZ20,C9,chaB,1,1,394,1271766..1272160,0.000893177,9,27,1271766,1271784,0.00352928,48,65,1272143,1272160
AZ16,B10,yddM,-1,1,177,1552839..1552662,0.00358909,1,18,1552839,1552856,0.000229873,47,66,1552681,1552662
AZ15,F1,ynaI,-1,1,315,1396144..1395829,0.00352928,1,18,1396144,1396161,0.00352928,47,64,1395846,1395829
AZ15,F2,ydfE,1,1,246,1649895..1650141,0.00352928,10,27,1649895,1649912,0.000893177,48,66,1650123,1650141
AZ15,F5,ydgA,1,1,251,1689678..1689929,0.00352928,10,27,1689678,1689695,0.00352928,48,65,1689912,1689929
AZ15,F4,ydgD,1,1,462,1671598..1672060,0.000893177,9,27,1671598,1671616,0.00352928,48,65,1672043,1672060
AZ15,F7,ydgR,1,1,770,1712065..1712835,0.00352928,10,27,1712065,1712082,0.00352928,48,65,1712818,1712835
AZ15,F6,ydgK,1,1,184,1705090..1705274,0.00352928,10,27,1705090,1705107,0.00352928,48,65,1705257,1705274
AZ15,F9,ydhS,1,1,248,1746927..1747175,0.00352928,10,27,1746927,1746944,0.00352928,48,65,1747158,1747175
AZ15,F8,ydhR,1,1,271,1746494..1746765,0.00346946,10,27,1746494,1746511,0.0137091,48,64,1746749,1746765
AZ02,H6,yeaM,-1,1,235,1875719..1875484,0.00352928,1,18,1875719,1875736,0.00352928,47,64,1875501,1875484
AZ02,H4,yneI,-1,1,205,1614860..1614655,0.000893177,1,19,1614860,1614878,0.00352928,47,64,1614672,1614655
AZ11,C11,mdoB,-1,1,399,4599728..4599329,0.00352928,1,18,4599728,4599745,0.00352928,47,64,4599346,4599329
AZ11,C12,ynfA,-1,1,238,1655836..1655598,0.00352928,1,18,1655836,1655853,0.00352928,47,64,1655615,1655598
AZ07,C9,yccA,-1,1,305,1031629..1031324,0.00352928,1,18,1031629,1031646,0.000226042,47,66,1031343,1031324
AZ07,C8,ybjE,-1,1,571,915386..914815,0.00352928,1,18,915386,915403,0.00352928,47,64,914832,914815
AZ07,C5,ybiO,-1,1,232,845759..845527,0.000893177,1,19,845759,845777,0.00352928,47,64,845544,845527
AZ07,C4,fiu,-1,1,363,841823..841460,0.00352928,1,18,841823,841840,0.00352928,47,64,841477,841460
AZ07,C7,hcp,-1,1,237,913960..913723,0.00352928,1,18,913960,913977,0.00352928,47,64,913740,913723
AZ07,C6,ybjS,-1,1,168,906877..906709,0.00352928,1,18,906877,906894,0.000893177,47,65,906727,906709
AZ07,C1,ybgD,-1,1,553,753262..752709,0.00358909,1,18,753262,753279,0.000908316,47,65,752727,752709
AZ07,C3,serA,-1,1,363,3058687..3058324,0.00346946,1,18,3058687,3058704,0.0137091,47,63,3058340,3058324
AZ07,C2,ybhC,-1,1,275,807483..807208,0.00352928,1,18,807483,807500,0.000893177,47,65,807226,807208
AZ05,H7,yihL,1,1,430,4060082..4060512,0.00352928,10,27,4060082,4060099,0.00352928,48,65,4060495,4060512
AZ04,G12,hsdR,-1,1,278,4587003..4586725,0.000893177,1,19,4587003,4587021,0.00352928,47,64,4586742,4586725
AZ04,G10,fadB,-1,1,318,4031207..4030889,0.00352928,1,18,4031207,4031224,0.00352928,47,64,4030906,4030889
AZ04,G11,pepE,-1,1,349,4230398..4230049,0.00352928,1,18,4230398,4230415,0.000893177,47,65,4230067,4230049
AZ11,F5,trkA,1,1,174,3436401..3436575,0.00352928,10,27,3436401,3436418,0.000226042,48,67,3436556,3436575
AZ11,F4,ecfK,1,1,171,197800..197971,0.000893177,9,27,197800,197818,0.000893177,48,66,197953,197971
AZ11,F7,b0298,1,1,194,315144..315338,0.000893177,9,27,315144,315162,0.00352928,48,65,315321,315338
AZ11,F6,yahI,1,3,182,340011..340193,0.000226042,8,27,340011,340030,0.000893177,48,66,340175,340193
AZ11,F6,yahI,1,3,275,339918..340193,0.0139455,8,24,339918,339934,0.000893177,48,66,340175,340193
AZ11,F6,yahI,1,3,368,339825..340193,0.000226042,8,27,339825,339844,0.000893177,48,66,340175,340193
AZ11,F1,ecfE,1,1,159,196435..196594,0.00352928,10,27,196435,196452,0.00352928,48,65,196577,196594
AZ11,F2,yaiW,1,1,165,397790..397955,0.0137091,10,26,397790,397806,0.000878039,47,65,397937,397955
AZ11,F9,b0501,1,1,205,528830..529035,0.00352928,10,27,528830,528847,0.00352928,48,65,529018,529035
AZ11,F8,ybbC,1,1,204,527443..527647,0.00358909,10,27,527443,527460,0.000908316,48,66,527629,527647
AZ02,F9,tnaC,1,1,389,3888115..3888504,0.00352928,10,27,3888115,3888132,0.00352928,48,65,3888487,3888504
AZ02,F8,exuR,1,1,299,3246423..3246722,0.00352928,10,27,3246423,3246440,0.000893177,48,66,3246704,3246722
AZ15,B3,yccM,-1,1,228,1053497..1053269,0.000226042,1,20,1053497,1053516,0.00352928,47,64,1053286,1053269
AZ02,F1,ansA,1,1,281,1850616..1850897,0.000893177,9,27,1850616,1850634,0.000226042,48,67,1850878,1850897
AZ02,F2,yqjF,1,1,241,3250306..3250547,0.000893177,9,27,3250306,3250324,0.000893177,48,66,3250529,3250547
AZ02,F5,yhaH,1,1,463,3251912..3252375,0.00352928,10,27,3251912,3251929,0.00352928,48,65,3252358,3252375
AZ02,F4,yqjG,1,1,246,3250867..3251113,0.00352928,10,27,3250867,3250884,0.00352928,48,65,3251096,3251113
AZ02,F7,sdaA,1,1,334,1896650..1896984,0.00352928,10,27,1896650,1896667,0.00352928,48,65,1896967,1896984
AZ02,F6,fixC,1,1,152,44058..44210,0.00358909,11,28,44058,44075,0.00358909,49,66,44193,44210
AZ12,C12,yafL,1,1,327,246407..246734,0.000893177,9,27,246407,246425,0.00352928,48,65,246717,246734
AZ12,C11,dnaQ,1,1,175,235927..236102,0.00352928,10,27,235927,235944,0.00352928,48,65,236085,236102
AZ10,F2,stpA,-1,1,757,2799184..2798427,0.00352928,1,18,2799184,2799201,0.00352928,47,64,2798444,2798427
AZ03,C1,yhbW,1,1,239,3303268..3303507,0.00352928,10,27,3303268,3303285,0.00352928,48,65,3303490,3303507
AZ03,C3,serA,-1,1,363,3058687..3058324,0.00346946,1,18,3058687,3058704,0.0137091,47,63,3058340,3058324
AZ03,C2,yjjU,1,1,563,4611907..4612470,0.00352928,10,27,4611907,4611924,0.00352928,48,65,4612453,4612470
AZ03,C5,yhfL,1,1,377,3499107..3499484,0.000908316,9,27,3499107,3499125,0.000229873,48,67,3499465,3499484
AZ03,C4,yhfK,1,1,234,3486658..3486892,0.00352928,10,27,3486658,3486675,0.00352928,48,65,3486875,3486892
AZ03,C7,yhgA,1,1,354,3542876..3543230,0.000226042,8,27,3542876,3542895,0.00352928,48,65,3543213,3543230
AZ03,C6,yhfP,1,1,223,3502621..3502844,0.00352928,10,27,3502621,3502638,0.000893177,48,66,3502826,3502844
AZ03,C9,yhcA,1,1,339,3361845..3362184,0.000233705,10,29,3361845,3361864,0.00364891,50,67,3362167,3362184
AZ03,C8,yrbL,1,1,398,3348137..3348535,0.000893177,9,27,3348137,3348155,0.00352928,48,65,3348518,3348535
AZ14,H12,yphF,-1,1,219,2679497..2679278,0.00352928,1,18,2679497,2679514,0.00352928,47,64,2679295,2679278
AZ14,H10,yeiM,-1,1,266,2257506..2257240,0.00352928,1,18,2257506,2257523,0.00352928,47,64,2257257,2257240
AZ14,H11,hisJ,-1,1,377,2427081..2426704,0.000226042,1,20,2427081,2427100,0.00352928,47,64,2426721,2426704
AZ18,C9,asd,-1,1,315,3575111..3574796,0.00352928,1,18,3575111,3575128,0.000893177,47,69,3574818,3574796
AZ18,C8,rhlB,-1,1,165,3965726..3965561,0.00358909,1,18,3965726,3965743,0.000908316,47,65,3965579,3965561
AZ18,C5,pdxK,-1,1,258,2537412..2537154,0.00352928,1,18,2537412,2537429,0.000893177,47,65,2537172,2537154
AZ18,C4,yfaL,-1,1,857,2344927..2344070,0.00352928,1,18,2344927,2344944,0.00352928,47,64,2344087,2344070
AZ18,C7,ggt,-1,1,208,3586960..3586752,0.000893177,1,19,3586960,3586978,0.000893177,47,65,3586770,3586752
AZ18,C6,ribB,-1,1,486,3184858..3184372,0.00352928,1,18,3184858,3184875,0.00352928,47,64,3184389,3184372
AZ18,C1,grxA,-1,1,323,890989..890666,0.000908316,1,19,890989,891007,0.00358909,48,65,890683,890666
AZ18,C3,serA,-1,1,363,3058687..3058324,0.00346946,1,18,3058687,3058704,0.0137091,47,63,3058340,3058324
AZ18,C2,osmE,-1,1,290,1822475..1822185,0.000229873,1,20,1822475,1822494,0.00358909,48,65,1822202,1822185
AZ01,G7,ybcK,1,1,389,568567..568956,0.000908316,10,28,568567,568585,0.00358909,49,66,568939,568956
AZ01,G6,renD,1,1,278,567927..568205,0.00352928,10,27,567927,567944,0.000226042,48,67,568186,568205
AZ01,G5,ylbF,1,0,0,0..549725,,0,0,0,0,0.00340964,46,63,549708,549725
AZ01,G4,ylbE,1,1,427,548278..548705,0.00352928,10,27,548278,548295,0.00352928,48,65,548688,548705
AZ01,G3,edd,-1,1,338,1934867..1934529,0.00352928,1,18,1934867,1934884,0.000893177,47,65,1934547,1934529
AZ01,G2,pfkA,1,1,346,4107292..4107638,0.00352928,10,27,4107292,4107309,0.000893177,48,66,4107620,4107638
AZ01,G1,tktB,1,1,190,2579525..2579715,0.00358909,11,28,2579525,2579542,0.00358909,49,66,2579698,2579715
AZ01,G9,glxK,1,1,205,541774..541979,0.00352928,10,27,541774,541791,0.00352928,48,65,541962,541979
AZ01,G8,ybcL,1,1,592,570358..570950,0.000233705,10,29,570358,570377,0.000923454,50,68,570932,570950
AZ08,A10,asnV,1,1,450,2061838..2062288,5.7206e-05,7,27,2061838,2061858,0.00352928,48,65,2062271,2062288
AZ08,A11,yejH,1,1,279,2280395..2280674,0.00352928,10,27,2280395,2280412,0.00352928,48,65,2280657,2280674
AZ15,G10,ymfI,1,1,200,1201292..1201492,0.00352928,10,27,1201292,1201309,0.00352928,48,65,1201475,1201492
AZ15,G11,ycgI,1,1,930,1222848..1223778,0.000908316,10,28,1222848,1222866,5.81756e-05,49,69,1223758,1223778
AZ15,G12,ymgE,1,1,355,1244441..1244796,0.00352928,10,27,1244441,1244458,0.000226042,48,67,1244777,1244796
AZ17,D12,yahN,-1,1,277,346544..346267,0.00352928,1,18,346544,346561,0.00352928,47,64,346284,346267
AZ13,F12,sanA,1,1,263,2232642..2232905,0.000893177,9,27,2232642,2232660,0.00352928,48,65,2232888,2232905
AZ13,F11,lolA,1,1,338,937130..937468,0.000893177,9,27,937130,937148,0.00352928,48,65,937451,937468
AZ13,F10,wrbA,-1,1,346,1067955..1067609,0.00352928,1,18,1067955,1067972,0.00352928,47,64,1067626,1067609
AZ05,A11,rfe,1,1,410,3967587..3967997,0.000893177,9,27,3967587,3967605,0.00352928,48,65,3967980,3967997
AZ05,A10,cdd,1,1,232,2231635..2231867,0.00352928,10,27,2231635,2231652,0.00352928,48,65,2231850,2231867
AZ10,E7,yajB,-1,1,199,425029..424830,0.00352928,1,18,425029,425046,0.00352928,47,64,424847,424830
AZ10,E6,ligT,-1,1,109,162064..161955,0.00352928,1,18,162064,162081,0.000893177,47,65,161973,161955
AZ10,E5,ppiB,-1,1,330,554672..554342,0.00352928,1,18,554672,554689,0.00352928,47,64,554359,554342
AZ10,E4,elaA,-1,1,206,2381656..2381450,0.00352928,1,18,2381656,2381673,0.00352928,47,64,2381467,2381450
AZ10,E3,yejO,-1,1,115,2288926..2288811,0.00352928,1,18,2288926,2288943,0.00352928,47,64,2288828,2288811
AZ10,E2,yeiE,-1,1,265,2249784..2249519,0.00352928,1,18,2249784,2249801,0.00352928,47,64,2249536,2249519
AZ10,E1,dusC,-1,1,365,2230656..2230291,0.000893177,1,19,2230656,2230674,0.00352928,47,64,2230308,2230291
AZ11,D12,nudF,-1,1,311,3178139..3177828,0.000233705,1,20,3178139,3178158,0.000233705,47,66,3177847,3177828
AZ11,D11,pdxB,-1,1,202,2437983..2437781,0.000893177,1,19,2437983,2438001,0.000893177,47,65,2437799,2437781
AZ11,D10,inaA,-1,1,303,2349704..2349401,0.00352928,1,18,2349704,2349721,0.000226042,47,66,2349420,2349401
AZ15,G9,ycfR,1,1,292,1168824..1169116,0.00352928,10,27,1168824,1168841,0.00352928,48,65,1169099,1169116
AZ15,G6,ycdC,1,1,416,1073914..1074330,0.000908316,10,28,1073914,1073932,0.00358909,49,66,1074313,1074330
AZ15,G7,ymdE,1,1,186,1095355..1095541,0.00352928,10,27,1095355,1095372,0.000893177,48,66,1095523,1095541
AZ15,G4,ycaP,1,1,228,956562..956790,0.000226042,8,27,956562,956581,0.00352928,48,65,956773,956790
AZ15,G5,ftsQ,1,1,199,103056..103255,0.00352928,10,27,103056,103073,0.000893177,48,66,103237,103255
AZ15,G2,ycaD,1,1,443,945458..945901,0.00352928,10,27,945458,945475,0.00352928,48,65,945884,945901
AZ15,G3,ycaK,1,1,231,949484..949715,0.000226042,8,27,949484,949503,0.00352928,48,65,949698,949715
AZ15,G1,clpS,1,1,433,922507..922940,0.00352928,10,27,922507,922524,0.00352928,48,65,922923,922940
AZ10,F10,wrbA,-1,1,346,1067955..1067609,0.00352928,1,18,1067955,1067972,0.00352928,47,64,1067626,1067609
AZ10,F11,yeaP,1,1,207,1877464..1877671,0.00358909,10,27,1877464,1877481,0.000229873,48,67,1877652,1877671
AZ10,F12,yoaB,1,1,193,1893153..1893346,0.00352928,10,27,1893153,1893170,0.00352928,48,65,1893329,1893346
AZ05,A6,yedY,1,1,257,2039269..2039526,0.000233705,10,29,2039269,2039288,0.000923454,50,68,2039508,2039526
AZ18,D12,atoS,1,1,349,2319731..2320080,0.00352928,10,27,2319731,2319748,0.00352928,48,65,2320063,2320080
AZ18,D10,ompX,1,1,506,850008..850514,0.00352928,10,27,850008,850025,0.00352928,48,65,850497,850514
AZ18,D11,yedP,1,1,329,2025240..2025569,5.7206e-05,7,27,2025240,2025260,5.7206e-05,48,68,2025549,2025569
AZ12,G3,ykgI,-1,1,246,318749..318503,0.000226042,1,24,318749,318772,0.00352928,47,64,318520,318503
AZ12,G2,yagZ,-1,1,205,310776..310571,0.00352928,1,18,310776,310793,0.00352928,47,64,310588,310571
AZ12,G1,yagY,-1,1,184,310134..309950,0.00352928,1,18,310134,310151,0.00352928,47,64,309967,309950
AZ07,E10,ybjN,1,1,227,892792..893019,0.00352928,10,27,892792,892809,0.00352928,48,65,893002,893019
AZ12,G7,dinB,1,1,241,250744..250985,0.00358909,10,27,250744,250761,0.000229873,48,67,250966,250985
AZ12,G6,mutT,1,1,165,110900..111065,0.00358909,10,27,110900,110917,0.000229873,48,67,111046,111065
AZ12,G5,yafK,-1,1,326,246034..245708,0.00352928,1,18,246034,246051,0.00352928,47,64,245725,245708
AZ12,G4,b0309,1,1,261,324532..324793,0.00352928,10,27,324532,324549,0.00352928,48,65,324776,324793
AZ12,G9,ftsK,1,1,294,933012..933306,0.000893177,9,27,933012,933030,0.00352928,48,65,933289,933306
AZ12,G8,brnQ,1,1,570,419088..419658,0.00352928,10,27,419088,419105,0.000893177,48,66,419640,419658
AZ07,B8,ybeF,-1,1,585,661713..661128,0.00352928,1,18,661713,661730,0.00352928,47,64,661145,661128
AZ07,B9,hscC,-1,1,240,683542..683302,0.00352928,1,18,683542,683559,0.000893177,47,65,683320,683302
AZ07,B2,cobU,-1,1,693,2066387..2065694,0.00352928,1,18,2066387,2066404,0.00352928,47,64,2065711,2065694
AZ07,B3,mcrA,1,1,289,1210152..1210441,0.000226042,8,27,1210152,1210171,0.00352928,48,65,1210424,1210441
AZ07,B1,menG,1,1,197,4119248..4119445,0.00352928,10,27,4119248,4119265,0.00352928,48,65,4119428,4119445
AZ07,B6,yaiP,-1,1,297,384141..383844,0.000938593,1,19,384141,384159,0.000237536,48,67,383863,383844
AZ07,B7,ybdG,-1,1,269,604853..604584,0.00358909,1,18,604853,604870,0.000908316,47,65,604602,604584
AZ07,B4,yahB,-1,1,256,334602..334346,0.00352928,1,18,334602,334619,0.00352928,47,64,334363,334346
AZ07,B5,yaiM,-1,1,229,378504..378275,0.00352928,1,18,378504,378521,0.00352928,47,64,378292,378275
AZ11,H8,polA,1,1,527,4046329..4046856,0.00352928,10,27,4046329,4046346,0.000893177,48,66,4046838,4046856
AZ02,A10,mngR,-1,1,254,766052..765798,0.00352928,1,18,766052,766069,0.000893177,47,65,765816,765798
AZ02,A11,tktA,-1,0,0,3081854..0,0.000484435,1,19,3081854,3081872,,0,0,0,0
AZ11,H6,yfbE,1,1,422,2365533..2365955,0.00352928,10,27,2365533,2365550,0.00352928,48,65,2365938,2365955
AZ11,G2,ybaB,1,1,227,493935..494162,0.00352928,10,27,493935,493952,0.00352928,48,65,494145,494162
AZ11,G3,ybaA,1,1,242,476466..476708,0.00352928,10,27,476466,476483,0.000893177,48,66,476690,476708
AZ11,G1,yadR,1,1,225,176460..176685,0.00352928,10,27,176460,176477,0.00352928,48,65,176668,176685
AZ11,G6,ppiD,1,1,302,461637..461939,0.00352928,10,27,461637,461654,0.000893177,48,66,461921,461939
AZ11,G7,ybaV,1,1,307,463690..463997,0.00352928,10,27,463690,463707,0.00352928,48,65,463980,463997
AZ11,G4,cdaR,1,1,253,182230..182483,5.81756e-05,8,28,182230,182250,0.00358909,49,66,182466,182483
AZ11,G5,adrA,1,1,293,403510..403803,0.00352928,10,27,403510,403527,0.000226042,48,67,403784,403803
AZ11,G8,yafM,1,1,344,247383..247727,0.00352928,10,27,247383,247400,0.00352928,48,65,247710,247727
AZ11,G9,uxuR,1,1,380,4554284..4554664,0.000893177,9,27,4554284,4554302,0.00352928,48,65,4554647,4554664
AZ04,D11,ptrB,-1,1,328,1929071..1928743,0.00352928,1,18,1929071,1929088,0.00352928,47,64,1928760,1928743
AZ04,D10,rnd,-1,1,153,1888068..1887915,0.000229873,1,20,1888068,1888087,0.000908316,48,66,1887933,1887915
AZ04,D12,clpB,-1,1,216,2734320..2734104,0.00352928,1,18,2734320,2734337,0.00352928,47,64,2734121,2734104
AZ08,H9,fklB,1,1,203,4428668..4428871,0.00352928,10,27,4428668,4428685,0.00352928,48,65,4428854,4428871
AZ08,H8,efp,1,1,197,4375583..4375780,0.00358909,11,28,4375583,4375600,0.000908316,49,67,4375762,4375780
AZ02,E7,yihR,-1,1,260,4070588..4070328,0.00352928,1,18,4070588,4070605,0.000893177,47,65,4070346,4070328
AZ08,H1,lacZ,-1,1,231,366445..366214,0.00352928,1,18,366445,366462,0.00352928,47,64,366231,366214
AZ08,H3,slyX,1,1,368,3477333..3477701,0.00352928,10,27,3477333,3477350,5.7206e-05,48,68,3477681,3477701
AZ08,H2,def,1,1,250,3433478..3433728,0.00352928,10,27,3433478,3433495,0.000893177,48,66,3433710,3433728
AZ08,H5,yifE,1,1,296,3947888..3948184,0.000229873,8,27,3947888,3947907,0.000908316,48,66,3948166,3948184
AZ08,H4,kdtA,1,1,618,3808014..3808632,0.000233705,10,29,3808014,3808033,0.00364891,50,67,3808615,3808632
AZ08,H7,dgkA,1,1,212,4256454..4256666,0.000893177,9,27,4256454,4256472,0.00352928,48,65,4256649,4256666
AZ08,H6,iap,1,1,427,2876244..2876671,0.00352928,10,27,2876244,2876261,0.00352928,48,65,2876654,2876671
AZ01,H8,ykfI,-1,1,145,263744..263599,0.00352928,1,18,263744,263761,0.00352928,47,64,263616,263599
AZ01,H9,yggG,1,0,0,0..3081872,,0,0,0,0,0.000484435,21,39,3081854,3081872
AZ02,E2,yhjK,-1,1,223,3685730..3685507,0.00352928,1,18,3685730,3685747,0.00352928,47,64,3685524,3685507
AZ01,H2,eno,-1,1,201,2908044..2907843,0.000226042,1,20,2908044,2908063,0.00352928,47,64,2907860,2907843
AZ01,H3,rpiA,-1,1,168,3059398..3059230,0.00352928,1,18,3059398,3059415,0.000893177,47,65,3059248,3059230
AZ01,H1,lacZ,-1,1,231,366445..366214,0.00352928,1,18,366445,366462,0.00352928,47,64,366231,366214
AZ01,H6,gntR,-1,1,339,3578996..3578657,0.00352928,1,18,3578996,3579013,0.00352928,47,64,3578674,3578657
AZ01,H7,tpiA,-1,1,257,4111673..4111416,0.00352928,1,18,4111673,4111690,0.00352928,47,64,4111433,4111416
AZ01,H4,glcB,-1,1,191,3123901..3123710,0.00346946,1,18,3123901,3123918,0.0137091,47,63,3123726,3123710
AZ01,H5,rpe,-1,1,134,3515116..3514982,0.00352928,1,18,3515116,3515133,0.00352928,47,64,3514999,3514982
AZ10,G11,yicC,1,1,270,3816451..3816721,0.000893177,9,27,3816451,3816469,0.00352928,48,65,3816704,3816721
AZ10,G10,malS,1,1,488,3737082..3737570,0.00352928,10,27,3737082,3737099,0.00352928,48,65,3737553,3737570
AZ03,B8,mdtN,-1,1,656,4304668..4304012,0.00352928,1,18,4304668,4304685,0.00352928,47,64,4304029,4304012
AZ03,B9,phnQ,-1,1,265,4314410..4314145,0.000893177,1,19,4314410,4314428,0.00352928,47,64,4314162,4314145
AZ03,B6,yjcO,-1,1,215,4297272..4297057,0.00340964,1,18,4297272,4297289,0.00340964,46,63,4297074,4297057
AZ03,B7,mdtO,-1,1,236,4303083..4302847,0.00358909,1,18,4303083,4303100,0.000908316,47,65,4302865,4302847
AZ03,B4,galS,-1,1,225,2241824..2241599,0.00352928,1,18,2241824,2241841,0.00352928,47,64,2241616,2241599
AZ10,G12,pepQ,1,1,335,4030889..4031224,0.00352928,10,27,4030889,4030906,0.00352928,48,65,4031207,4031224
AZ03,B2,uidA,-1,1,491,1696477..1695986,0.000893177,1,19,1696477,1696495,0.00352928,47,64,1696003,1695986
AZ03,B3,gatY,-1,1,435,2177573..2177138,0.00352928,1,18,2177573,2177590,0.00352928,47,64,2177155,2177138
AZ03,B1,poxB,-1,1,276,911252..910976,0.00352928,1,18,911252,911269,0.000893177,47,65,910994,910976
AZ05,G9,cfa,1,0,0,0..1741505,,0,0,0,0,0.00352928,48,65,1741488,1741505
AZ05,G8,fabF,1,1,215,1151778..1151993,0.00352928,10,27,1151778,1151795,0.00352928,48,65,1151976,1151993
AZ16,B12,ycaC,-1,1,426,945884..945458,0.00352928,1,18,945884,945901,0.00352928,47,64,945475,945458
AZ05,G2,arpA,-1,1,418,4222836..4222418,0.00358909,1,18,4222836,4222853,0.000908316,47,65,4222436,4222418
AZ05,G1,sspA,-1,1,485,3377826..3377341,0.000893177,1,19,3377826,3377844,0.00352928,47,64,3377358,3377341
AZ16,B11,cspD,-1,1,416,922923..922507,0.00352928,1,18,922923,922940,0.00352928,47,64,922524,922507
AZ05,G7,flgH,1,1,194,1135436..1135630,0.00352928,10,27,1135436,1135453,0.00352928,48,65,1135613,1135630
AZ05,G6,adk,1,1,299,496899..497198,0.000908316,10,28,496899,496917,0.00358909,49,66,497181,497198
AZ05,G5,yjhS,-1,1,200,4537704..4537504,0.000893177,1,19,4537704,4537722,0.000893177,47,65,4537522,4537504
AZ05,G4,sgcC,-1,1,404,4530569..4530165,0.000893177,1,19,4530569,4530587,0.00352928,47,64,4530182,4530165
AZ02,G6,ycbZ,-1,1,294,1018512..1018218,0.00358909,1,18,1018512,1018529,0.000908316,47,65,1018236,1018218
